client_id,session_id,new_date,category
2397727872,b7fcc1f6-686b-41c005,6/1/2020,otp-login
2397727873,b7fcc1f6-686b-41c006,6/1/2020,mobile-otp
2397727874,b7fcc1f6-686b-41c007,6/1/2020,default
2397727875,b7fcc1f6-686b-41c008,6/1/2020,pass-login
2397727876,b7fcc1f6-686b-41c009,6/1/2020,otp-login
2397727877,b7fcc1f6-686b-41c010,6/1/2020,mobile-otp
2397727878,b7fcc1f6-686b-41c011,6/1/2020,default
2397727879,b7fcc1f6-686b-41c012,6/1/2020,pass-login
2397727880,b7fcc1f6-686b-41c013,6/1/2020,otp-login
2397727881,b7fcc1f6-686b-41c014,6/1/2020,mobile-otp
2397727882,b7fcc1f6-686b-41c015,6/1/2020,default
2397727883,b7fcc1f6-686b-41c016,6/1/2020,pass-login
2397727884,b7fcc1f6-686b-41c017,6/1/2020,otp-login
2397727885,b7fcc1f6-686b-41c018,6/1/2020,mobile-otp
2397727886,b7fcc1f6-686b-41c019,6/1/2020,default
2397727887,b7fcc1f6-686b-41c020,6/1/2020,pass-login
2397727888,b7fcc1f6-686b-41c021,6/1/2020,otp-login
2397727889,b7fcc1f6-686b-41c022,6/1/2020,mobile-otp
2397727890,b7fcc1f6-686b-41c023,6/1/2020,default
2397727891,b7fcc1f6-686b-41c024,6/1/2020,pass-login
2397727892,b7fcc1f6-686b-41c025,6/1/2020,otp-login
2397727893,b7fcc1f6-686b-41c026,6/1/2020,mobile-otp
2397727894,b7fcc1f6-686b-41c027,6/1/2020,default
2397727895,b7fcc1f6-686b-41c028,6/1/2020,pass-login
2397727896,b7fcc1f6-686b-41c029,6/1/2020,otp-login
2397727897,b7fcc1f6-686b-41c030,6/1/2020,mobile-otp
2397727898,b7fcc1f6-686b-41c031,6/1/2020,default
2397727899,b7fcc1f6-686b-41c032,6/1/2020,pass-login
2397727900,b7fcc1f6-686b-41c033,6/1/2020,otp-login
2397727901,b7fcc1f6-686b-41c034,6/1/2020,mobile-otp
2397727902,b7fcc1f6-686b-41c035,6/1/2020,default
