client_id,session_id,datetime,category
2397727872,b7fcc1f6-686b-41c005,1/6/2020,otp-login
2397727873,b7fcc1f6-686b-41c006,1/6/2020,mobile-otp
2397727874,b7fcc1f6-686b-41c007,1/6/2020,default
2397727875,b7fcc1f6-686b-41c008,1/6/2020,pass-login
2397727876,b7fcc1f6-686b-41c009,1/6/2020,otp-login
2397727877,b7fcc1f6-686b-41c010,1/6/2020,mobile-otp
2397727878,b7fcc1f6-686b-41c011,1/6/2020,default
2397727879,b7fcc1f6-686b-41c012,1/6/2020,pass-login
2397727880,b7fcc1f6-686b-41c013,1/6/2020,otp-login
2397727881,b7fcc1f6-686b-41c014,1/6/2020,mobile-otp
2397727882,b7fcc1f6-686b-41c015,1/6/2020,default
2397727883,b7fcc1f6-686b-41c016,1/6/2020,pass-login
2397727884,b7fcc1f6-686b-41c017,1/6/2020,otp-login
2397727885,b7fcc1f6-686b-41c018,1/6/2020,mobile-otp
2397727886,b7fcc1f6-686b-41c019,1/6/2020,default
2397727887,b7fcc1f6-686b-41c020,1/6/2020,pass-login
2397727888,b7fcc1f6-686b-41c021,1/6/2020,otp-login
2397727889,b7fcc1f6-686b-41c022,1/6/2020,mobile-otp
2397727890,b7fcc1f6-686b-41c023,1/6/2020,default
2397727891,b7fcc1f6-686b-41c024,1/6/2020,pass-login
2397727892,b7fcc1f6-686b-41c025,1/6/2020,otp-login
2397727893,b7fcc1f6-686b-41c026,1/6/2020,mobile-otp
2397727894,b7fcc1f6-686b-41c027,1/6/2020,default
2397727895,b7fcc1f6-686b-41c028,1/6/2020,pass-login
2397727896,b7fcc1f6-686b-41c029,1/6/2020,otp-login
2397727897,b7fcc1f6-686b-41c030,1/6/2020,mobile-otp
2397727898,b7fcc1f6-686b-41c031,1/6/2020,default
2397727899,b7fcc1f6-686b-41c032,1/6/2020,pass-login
2397727900,b7fcc1f6-686b-41c033,1/6/2020,otp-login
2397727901,b7fcc1f6-686b-41c034,1/6/2020,mobile-otp
2397727902,b7fcc1f6-686b-41c035,1/6/2020,default
2397727903,b7fcc1f6-686b-41c036,1/6/2020,pass-login
2397727904,b7fcc1f6-686b-41c037,1/6/2020,otp-login
2397727905,b7fcc1f6-686b-41c038,1/6/2020,mobile-otp
2397727906,b7fcc1f6-686b-41c039,1/6/2020,default
2397727907,b7fcc1f6-686b-41c040,1/6/2020,pass-login
2397727908,b7fcc1f6-686b-41c041,1/6/2020,otp-login
2397727909,b7fcc1f6-686b-41c042,1/6/2020,mobile-otp
2397727910,b7fcc1f6-686b-41c043,1/6/2020,default
2397727911,b7fcc1f6-686b-41c044,1/6/2020,pass-login
2397727912,b7fcc1f6-686b-41c045,1/6/2020,otp-login
2397727913,b7fcc1f6-686b-41c046,1/6/2020,mobile-otp
2397727914,b7fcc1f6-686b-41c047,1/6/2020,default
2397727915,b7fcc1f6-686b-41c048,1/6/2020,pass-login
2397727916,b7fcc1f6-686b-41c049,1/6/2020,otp-login
2397727917,b7fcc1f6-686b-41c050,1/6/2020,mobile-otp
2397727918,b7fcc1f6-686b-41c051,1/6/2020,default
2397727919,b7fcc1f6-686b-41c052,1/6/2020,pass-login
2397727920,b7fcc1f6-686b-41c053,1/6/2020,otp-login
2397727921,b7fcc1f6-686b-41c054,1/6/2020,mobile-otp
2397727922,b7fcc1f6-686b-41c055,1/6/2020,default
2397727923,b7fcc1f6-686b-41c056,1/6/2020,pass-login
2397727924,b7fcc1f6-686b-41c057,1/6/2020,otp-login
2397727925,b7fcc1f6-686b-41c058,1/6/2020,mobile-otp
2397727926,b7fcc1f6-686b-41c059,1/6/2020,default
2397727927,b7fcc1f6-686b-41c060,1/6/2020,pass-login
2397727928,b7fcc1f6-686b-41c061,1/6/2020,otp-login
2397727929,b7fcc1f6-686b-41c062,1/6/2020,mobile-otp
2397727930,b7fcc1f6-686b-41c063,1/6/2020,default
2397727931,b7fcc1f6-686b-41c064,1/6/2020,pass-login
2397727932,b7fcc1f6-686b-41c065,1/6/2020,otp-login
2397727933,b7fcc1f6-686b-41c066,1/6/2020,mobile-otp
2397727934,b7fcc1f6-686b-41c067,1/6/2020,default
2397727935,b7fcc1f6-686b-41c068,1/6/2020,pass-login
2397727936,b7fcc1f6-686b-41c069,1/6/2020,otp-login
2397727937,b7fcc1f6-686b-41c070,1/6/2020,mobile-otp
2397727938,b7fcc1f6-686b-41c071,1/6/2020,default
2397727939,b7fcc1f6-686b-41c072,1/6/2020,pass-login
2397727940,b7fcc1f6-686b-41c073,1/6/2020,otp-login
2397727941,b7fcc1f6-686b-41c074,1/6/2020,mobile-otp
2397727942,b7fcc1f6-686b-41c075,1/6/2020,default
2397727943,b7fcc1f6-686b-41c076,1/6/2020,pass-login
2397727944,b7fcc1f6-686b-41c077,1/6/2020,otp-login
2397727945,b7fcc1f6-686b-41c078,1/6/2020,mobile-otp
2397727946,b7fcc1f6-686b-41c079,1/6/2020,default
2397727947,b7fcc1f6-686b-41c080,1/6/2020,pass-login
2397727948,b7fcc1f6-686b-41c081,1/6/2020,otp-login
2397727949,b7fcc1f6-686b-41c082,1/6/2020,mobile-otp
2397727950,b7fcc1f6-686b-41c083,1/6/2020,default
2397727951,b7fcc1f6-686b-41c084,1/6/2020,pass-login
2397727952,b7fcc1f6-686b-41c085,1/6/2020,otp-login
2397727953,b7fcc1f6-686b-41c086,1/6/2020,mobile-otp
2397727954,b7fcc1f6-686b-41c087,1/6/2020,default
2397727955,b7fcc1f6-686b-41c088,1/6/2020,pass-login
2397727956,b7fcc1f6-686b-41c089,1/6/2020,otp-login
2397727957,b7fcc1f6-686b-41c090,1/6/2020,mobile-otp
2397727958,b7fcc1f6-686b-41c091,1/6/2020,default
2397727959,b7fcc1f6-686b-41c092,1/6/2020,pass-login
2397727960,b7fcc1f6-686b-41c093,1/6/2020,otp-login
2397727961,b7fcc1f6-686b-41c094,1/6/2020,mobile-otp
2397727962,b7fcc1f6-686b-41c095,1/6/2020,default
2397727963,b7fcc1f6-686b-41c096,1/6/2020,pass-login
2397727964,b7fcc1f6-686b-41c097,1/6/2020,otp-login
2397727965,b7fcc1f6-686b-41c098,1/6/2020,mobile-otp
2397727966,b7fcc1f6-686b-41c099,1/6/2020,default
2397727967,b7fcc1f6-686b-41b100,1/6/2020,pass-login
2397727968,b7fcc1f6-686b-41b101,1/6/2020,otp-login
2397727969,b7fcc1f6-686b-41b102,1/6/2020,mobile-otp
2397727970,b7fcc1f6-686b-41b103,1/6/2020,default
2397727971,b7fcc1f6-686b-41b104,1/7/2020,pass-login
2397727972,b7fcc1f6-686b-41b105,1/7/2020,otp-login
2397727973,b7fcc1f6-686b-41b106,1/7/2020,mobile-otp
2397727974,b7fcc1f6-686b-41b107,1/7/2020,default
2397727975,b7fcc1f6-686b-41b108,1/7/2020,pass-login
2397727976,b7fcc1f6-686b-41b109,1/7/2020,otp-login
2397727977,b7fcc1f6-686b-41b110,1/7/2020,mobile-otp
2397727978,b7fcc1f6-686b-41b111,1/7/2020,default
2397727979,b7fcc1f6-686b-41b112,1/7/2020,pass-login
2397727980,b7fcc1f6-686b-41b113,1/7/2020,otp-login
2397727981,b7fcc1f6-686b-41b114,1/7/2020,mobile-otp
2397727982,b7fcc1f6-686b-41b115,1/7/2020,default
2397727983,b7fcc1f6-686b-41b116,1/7/2020,pass-login
2397727984,b7fcc1f6-686b-41b117,1/7/2020,otp-login
2397727985,b7fcc1f6-686b-41b118,1/7/2020,mobile-otp
2397727986,b7fcc1f6-686b-41b119,1/7/2020,default
2397727987,b7fcc1f6-686b-41b120,1/7/2020,pass-login
2397727988,b7fcc1f6-686b-41b121,1/7/2020,otp-login
2397727989,b7fcc1f6-686b-41b122,1/7/2020,mobile-otp
2397727990,b7fcc1f6-686b-41b123,1/7/2020,default
2397727991,b7fcc1f6-686b-41b124,1/7/2020,pass-login
2397727992,b7fcc1f6-686b-41b125,1/7/2020,otp-login
2397727993,b7fcc1f6-686b-41b126,1/7/2020,mobile-otp
2397727994,b7fcc1f6-686b-41b127,1/7/2020,default
2397727995,b7fcc1f6-686b-41b128,1/7/2020,pass-login
2397727996,b7fcc1f6-686b-41b129,1/7/2020,otp-login
2397727997,b7fcc1f6-686b-41b130,1/7/2020,mobile-otp
